
Type	Value	pF	Accuracy	Voltage
Ceramic (MLCC)	1 pF	1	10% (K)	50V
Ceramic (MLCC)	1.2 pF	1	10% (K)	50V
Ceramic (MLCC)	1.5 pF	1	10% (K)	50V
Ceramic (MLCC)	1.8 pF	1	10% (K)	50V
Ceramic (MLCC)	2.2 pF	2	10% (K)	50V
Ceramic (MLCC)	2.7 pF	2	10% (K)	50V
Ceramic (MLCC)	3.3 pF	3	10% (K)	50V
Ceramic (MLCC)	3.9 pF	3	10% (K)	50V
Ceramic (MLCC)	4.7 pF	4	10% (K)	50V
Ceramic (MLCC)	5.6 pF	5	10% (K)	50V
Ceramic (MLCC)	6.8 pF	6	10% (K)	50V
Ceramic (MLCC)	8.2 pF	8	10% (K)	50V
Ceramic (MLCC)	10 pF	10	10% (K)	50V
Ceramic (MLCC)	12 pF	12	10% (K)	50V
Ceramic (MLCC)	15 pF	15	10% (K)	50V
Ceramic (MLCC)	18 pF	18	10% (K)	50V
Ceramic (MLCC)	22 pF	22	10% (K)	50V
Ceramic (MLCC)	27 pF	27	10% (K)	50V
Ceramic (MLCC)	33 pF	33	10% (K)	50V
Ceramic (MLCC)	39 pF	39	10% (K)	50V
Ceramic (MLCC)	47 pF	47	10% (K)	50V
Ceramic (MLCC)	56 pF	56	10% (K)	50V
Ceramic (MLCC)	68 pF	68	10% (K)	50V
Ceramic (MLCC)	82 pF	82	10% (K)	50V
Ceramic (MLCC)	100 pF	100	10% (K)	50V
Ceramic (MLCC)	120 pF	120	10% (K)	50V
Ceramic (MLCC)	150 pF	150	10% (K)	50V
Ceramic (MLCC)	180 pF	180	10% (K)	50V
Ceramic (MLCC)	220 pF	220	10% (K)	50V
Ceramic (MLCC)	270 pF	270	10% (K)	50V
Ceramic (MLCC)	330 pF	330	10% (K)	50V
Ceramic (MLCC)	390 pF	390	10% (K)	50V
Ceramic (MLCC)	470 pF	470	10% (K)	50V
Ceramic (MLCC)	560 pF	560	10% (K)	50V
Ceramic (MLCC)	680 pF	680	10% (K)	50V
Ceramic (MLCC)	820 pF	819	10% (K)	50V
Ceramic (MLCC)	1 nF	1000	10% (K)	50V
Ceramic (MLCC)	1.2 nF	1200	10% (K)	50V
Ceramic (MLCC)	1.5 nF	1500	10% (K)	50V
Ceramic (MLCC)	1.8 nF	1800	10% (K)	50V
Ceramic (MLCC)	2.2 nF	2200	10% (K)	50V
Ceramic (MLCC)	2.7 nF	2700	10% (K)	50V
Ceramic (MLCC)	3.3 nF	3300	10% (K)	50V
Ceramic (MLCC)	3.9 nF	3900	10% (K)	50V
Ceramic (MLCC)	4.7 nF	4700	10% (K)	50V
Ceramic (MLCC)	5.6 nF	5600	10% (K)	50V
Ceramic (MLCC)	6.8 nF	6800	10% (K)	50V
Ceramic (MLCC)	8.2 nF	8200	10% (K)	50V
Ceramic (MLCC)	10 nF	10000	10% (K)	50V
Ceramic (MLCC)	12 nF	12000	10% (K)	50V
Ceramic (MLCC)	15 nF	15000	10% (K)	50V
Ceramic (MLCC)	18 nF	18000	10% (K)	50V
Ceramic (MLCC)	22 nF	22000	10% (K)	50V
Ceramic (MLCC)	27 nF	27000	10% (K)	50V
Ceramic (MLCC)	33 nF	33000	10% (K)	50V
Ceramic (MLCC)	39 nF	39000	10% (K)	50V
Ceramic (MLCC)	47 nF	47000	10% (K)	50V
Ceramic (MLCC)	56 nF	56000	10% (K)	50V
Ceramic (MLCC)	68 nF	68000	10% (K)	50V
Ceramic (MLCC)	82 nF	82000	10% (K)	50V
Ceramic (MLCC)	100 nF	100000	10% (K)	50V
Ceramic (MLCC)	120 nF	120000	10% (K)	50V
Ceramic (MLCC)	150 nF	150000	10% (K)	50V
Ceramic (MLCC)	180 nF	180000	10% (K)	50V
Ceramic (MLCC)	220 nF	220000	10% (K)	50V
Ceramic (MLCC)	270 nF	270000	10% (K)	50V
Ceramic (MLCC)	330 nF	330000	10% (K)	50V
Ceramic (MLCC)	390 nF	390000	10% (K)	50V
Ceramic (MLCC)	470 nF	470000	10% (K)	50V
Ceramic (MLCC)	560 nF	560000	10% (K)	50V
Ceramic (MLCC)	680 nF	680000	10% (K)	50V
Ceramic (MLCC)	820 nF	819999	10% (K)	50V
Ceramic (MLCC)	1 uF	1000000	10% (K)	25V
