
Type	Value	pF	Accuracy	Voltage Rating
Film Capacitor	1 nF	1000	5% (J)	16V
Film Capacitor	1 nF	1000	5% (J)	25V
Film Capacitor	1 nF	1000	5% (J)	50V
Film Capacitor	1 nF	1000	5% (J)	63V
Film Capacitor	1 nF	1000	5% (J)	90V
Film Capacitor	1 nF	1000	5% (J)	100V
Film Capacitor	1 nF	1000	5% (J)	110V
Film Capacitor	1 nF	1000	5% (J)	125V
Film Capacitor	1 nF	1000	5% (J)	250V
Film Capacitor	1 nF	1000	5% (J)	275V
Film Capacitor	1 nF	1000	5% (J)	375V
Film Capacitor	1 nF	1000	5% (J)	400V
Film Capacitor	1 nF	1000	5% (J)	450V
Film Capacitor	1 nF	1000	5% (J)	630V
Film Capacitor	1.2 nF	1200	5% (J)	16V
Film Capacitor	1.2 nF	1200	5% (J)	25V
Film Capacitor	1.2 nF	1200	5% (J)	50V
Film Capacitor	1.2 nF	1200	5% (J)	63V
Film Capacitor	1.2 nF	1200	5% (J)	90V
Film Capacitor	1.2 nF	1200	5% (J)	100V
Film Capacitor	1.2 nF	1200	5% (J)	110V
Film Capacitor	1.2 nF	1200	5% (J)	125V
Film Capacitor	1.2 nF	1200	5% (J)	250V
Film Capacitor	1.2 nF	1200	5% (J)	275V
Film Capacitor	1.2 nF	1200	5% (J)	375V
Film Capacitor	1.2 nF	1200	5% (J)	400V
Film Capacitor	1.2 nF	1200	5% (J)	450V
Film Capacitor	1.2 nF	1200	5% (J)	630V
Film Capacitor	1.5 nF	1500	5% (J)	16V
Film Capacitor	1.5 nF	1500	5% (J)	25V
Film Capacitor	1.5 nF	1500	5% (J)	50V
Film Capacitor	1.5 nF	1500	5% (J)	63V
Film Capacitor	1.5 nF	1500	5% (J)	90V
Film Capacitor	1.5 nF	1500	5% (J)	100V
Film Capacitor	1.5 nF	1500	5% (J)	110V
Film Capacitor	1.5 nF	1500	5% (J)	125V
Film Capacitor	1.5 nF	1500	5% (J)	250V
Film Capacitor	1.5 nF	1500	5% (J)	275V
Film Capacitor	1.5 nF	1500	5% (J)	375V
Film Capacitor	1.5 nF	1500	5% (J)	400V
Film Capacitor	1.5 nF	1500	5% (J)	450V
Film Capacitor	1.5 nF	1500	5% (J)	630V
Film Capacitor	1.8 nF	1800	5% (J)	16V
Film Capacitor	1.8 nF	1800	5% (J)	25V
Film Capacitor	1.8 nF	1800	5% (J)	50V
Film Capacitor	1.8 nF	1800	5% (J)	63V
Film Capacitor	1.8 nF	1800	5% (J)	90V
Film Capacitor	1.8 nF	1800	5% (J)	100V
Film Capacitor	1.8 nF	1800	5% (J)	110V
Film Capacitor	1.8 nF	1800	5% (J)	125V
Film Capacitor	1.8 nF	1800	5% (J)	250V
Film Capacitor	1.8 nF	1800	5% (J)	275V
Film Capacitor	1.8 nF	1800	5% (J)	375V
Film Capacitor	1.8 nF	1800	5% (J)	400V
Film Capacitor	1.8 nF	1800	5% (J)	450V
Film Capacitor	1.8 nF	1800	5% (J)	630V
Film Capacitor	2.2 nF	2200	5% (J)	16V
Film Capacitor	2.2 nF	2200	5% (J)	25V
Film Capacitor	2.2 nF	2200	5% (J)	50V
Film Capacitor	2.2 nF	2200	5% (J)	63V
Film Capacitor	2.2 nF	2200	5% (J)	90V
Film Capacitor	2.2 nF	2200	5% (J)	100V
Film Capacitor	2.2 nF	2200	5% (J)	110V
Film Capacitor	2.2 nF	2200	5% (J)	125V
Film Capacitor	2.2 nF	2200	5% (J)	250V
Film Capacitor	2.2 nF	2200	5% (J)	275V
Film Capacitor	2.2 nF	2200	5% (J)	375V
Film Capacitor	2.2 nF	2200	5% (J)	400V
Film Capacitor	2.2 nF	2200	5% (J)	450V
Film Capacitor	2.2 nF	2200	5% (J)	630V
Film Capacitor	2.7 nF	2700	5% (J)	16V
Film Capacitor	2.7 nF	2700	5% (J)	25V
Film Capacitor	2.7 nF	2700	5% (J)	50V
Film Capacitor	2.7 nF	2700	5% (J)	63V
Film Capacitor	2.7 nF	2700	5% (J)	90V
Film Capacitor	2.7 nF	2700	5% (J)	100V
Film Capacitor	2.7 nF	2700	5% (J)	110V
Film Capacitor	2.7 nF	2700	5% (J)	125V
Film Capacitor	2.7 nF	2700	5% (J)	250V
Film Capacitor	2.7 nF	2700	5% (J)	275V
Film Capacitor	2.7 nF	2700	5% (J)	375V
Film Capacitor	2.7 nF	2700	5% (J)	400V
Film Capacitor	2.7 nF	2700	5% (J)	450V
Film Capacitor	2.7 nF	2700	5% (J)	630V
Film Capacitor	3.3 nF	3300	5% (J)	16V
Film Capacitor	3.3 nF	3300	5% (J)	25V
Film Capacitor	3.3 nF	3300	5% (J)	50V
Film Capacitor	3.3 nF	3300	5% (J)	63V
Film Capacitor	3.3 nF	3300	5% (J)	90V
Film Capacitor	3.3 nF	3300	5% (J)	100V
Film Capacitor	3.3 nF	3300	5% (J)	110V
Film Capacitor	3.3 nF	3300	5% (J)	125V
Film Capacitor	3.3 nF	3300	5% (J)	250V
Film Capacitor	3.3 nF	3300	5% (J)	275V
Film Capacitor	3.3 nF	3300	5% (J)	375V
Film Capacitor	3.3 nF	3300	5% (J)	400V
Film Capacitor	3.3 nF	3300	5% (J)	450V
Film Capacitor	3.3 nF	3300	5% (J)	630V
Film Capacitor	3.9 nF	3900	5% (J)	16V
Film Capacitor	3.9 nF	3900	5% (J)	25V
Film Capacitor	3.9 nF	3900	5% (J)	50V
Film Capacitor	3.9 nF	3900	5% (J)	63V
Film Capacitor	3.9 nF	3900	5% (J)	90V
Film Capacitor	3.9 nF	3900	5% (J)	100V
Film Capacitor	3.9 nF	3900	5% (J)	110V
Film Capacitor	3.9 nF	3900	5% (J)	125V
Film Capacitor	3.9 nF	3900	5% (J)	250V
Film Capacitor	3.9 nF	3900	5% (J)	275V
Film Capacitor	3.9 nF	3900	5% (J)	375V
Film Capacitor	3.9 nF	3900	5% (J)	400V
Film Capacitor	3.9 nF	3900	5% (J)	450V
Film Capacitor	3.9 nF	3900	5% (J)	630V
Film Capacitor	4.7 nF	4700	5% (J)	16V
Film Capacitor	4.7 nF	4700	5% (J)	25V
Film Capacitor	4.7 nF	4700	5% (J)	50V
Film Capacitor	4.7 nF	4700	5% (J)	63V
Film Capacitor	4.7 nF	4700	5% (J)	90V
Film Capacitor	4.7 nF	4700	5% (J)	100V
Film Capacitor	4.7 nF	4700	5% (J)	110V
Film Capacitor	4.7 nF	4700	5% (J)	125V
Film Capacitor	4.7 nF	4700	5% (J)	250V
Film Capacitor	4.7 nF	4700	5% (J)	275V
Film Capacitor	4.7 nF	4700	5% (J)	375V
Film Capacitor	4.7 nF	4700	5% (J)	400V
Film Capacitor	4.7 nF	4700	5% (J)	450V
Film Capacitor	4.7 nF	4700	5% (J)	630V
Film Capacitor	5.6 nF	5600	5% (J)	16V
Film Capacitor	5.6 nF	5600	5% (J)	25V
Film Capacitor	5.6 nF	5600	5% (J)	50V
Film Capacitor	5.6 nF	5600	5% (J)	63V
Film Capacitor	5.6 nF	5600	5% (J)	90V
Film Capacitor	5.6 nF	5600	5% (J)	100V
Film Capacitor	5.6 nF	5600	5% (J)	110V
Film Capacitor	5.6 nF	5600	5% (J)	125V
Film Capacitor	5.6 nF	5600	5% (J)	250V
Film Capacitor	5.6 nF	5600	5% (J)	275V
Film Capacitor	5.6 nF	5600	5% (J)	375V
Film Capacitor	5.6 nF	5600	5% (J)	400V
Film Capacitor	5.6 nF	5600	5% (J)	450V
Film Capacitor	5.6 nF	5600	5% (J)	630V
Film Capacitor	6.8 nF	6800	5% (J)	16V
Film Capacitor	6.8 nF	6800	5% (J)	25V
Film Capacitor	6.8 nF	6800	5% (J)	50V
Film Capacitor	6.8 nF	6800	5% (J)	63V
Film Capacitor	6.8 nF	6800	5% (J)	90V
Film Capacitor	6.8 nF	6800	5% (J)	100V
Film Capacitor	6.8 nF	6800	5% (J)	110V
Film Capacitor	6.8 nF	6800	5% (J)	125V
Film Capacitor	6.8 nF	6800	5% (J)	250V
Film Capacitor	6.8 nF	6800	5% (J)	275V
Film Capacitor	6.8 nF	6800	5% (J)	375V
Film Capacitor	6.8 nF	6800	5% (J)	400V
Film Capacitor	6.8 nF	6800	5% (J)	450V
Film Capacitor	6.8 nF	6800	5% (J)	630V
Film Capacitor	8.2 nF	8200	5% (J)	16V
Film Capacitor	8.2 nF	8200	5% (J)	25V
Film Capacitor	8.2 nF	8200	5% (J)	50V
Film Capacitor	8.2 nF	8200	5% (J)	63V
Film Capacitor	8.2 nF	8200	5% (J)	90V
Film Capacitor	8.2 nF	8200	5% (J)	100V
Film Capacitor	8.2 nF	8200	5% (J)	110V
Film Capacitor	8.2 nF	8200	5% (J)	125V
Film Capacitor	8.2 nF	8200	5% (J)	250V
Film Capacitor	8.2 nF	8200	5% (J)	275V
Film Capacitor	8.2 nF	8200	5% (J)	375V
Film Capacitor	8.2 nF	8200	5% (J)	400V
Film Capacitor	8.2 nF	8200	5% (J)	450V
Film Capacitor	8.2 nF	8200	5% (J)	630V
Film Capacitor	10 nF	10000	5% (J)	16V
Film Capacitor	10 nF	10000	5% (J)	25V
Film Capacitor	10 nF	10000	5% (J)	50V
Film Capacitor	10 nF	10000	5% (J)	63V
Film Capacitor	10 nF	10000	5% (J)	90V
