
Type	Value	Ohm Rating (Numerical)	Accuracy	Power
Carbon	1 Ohm	1	20%	0.5W
Carbon	1.1 Ohm	1	20%	0.5W
Carbon	1.2 Ohm	1	20%	0.5W
Carbon	1.3 Ohm	1	20%	0.5W
Carbon	1.5 Ohm	1	20%	0.5W
Carbon	1.6 Ohm	1	20%	0.5W
Carbon	1.8 Ohm	1	20%	0.5W
Carbon	2 Ohm	2	20%	0.5W
Carbon	2.2 Ohm	2	20%	0.5W
Carbon	2.4 Ohm	2	20%	0.5W
Carbon	2.7 Ohm	2	20%	0.5W
Carbon	3 Ohm	3	20%	0.5W
Carbon	3.3 Ohm	3	20%	0.5W
Carbon	3.6 Ohm	3	20%	0.5W
Carbon	3.9 Ohm	3	20%	0.5W
Carbon	4.3 Ohm	4	20%	0.5W
Carbon	4.7 Ohm	4	20%	0.5W
Carbon	5.1 Ohm	5	20%	0.5W
Carbon	5.6 Ohm	5	20%	0.5W
Carbon	6.2 Ohm	6	20%	0.5W
Carbon	6.8 Ohm	6	20%	0.5W
Carbon	7.5 Ohm	7	20%	0.5W
Carbon	8.2 Ohm	8	20%	0.5W
Carbon	9.1 Ohm	9	20%	0.5W
Carbon	10 Ohm	10	20%	0.5W
Carbon	11 Ohm	11	20%	0.5W
Carbon	12 Ohm	12	20%	0.5W
Carbon	13 Ohm	13	20%	0.5W
Carbon	15 Ohm	15	20%	0.5W
Carbon	16 Ohm	16	20%	0.5W
Carbon	18 Ohm	18	20%	0.5W
Carbon	20 Ohm	20	20%	0.5W
Carbon	22 Ohm	22	20%	0.5W
Carbon	24 Ohm	24	20%	0.5W
Carbon	27 Ohm	27	20%	0.5W
Carbon	30 Ohm	30	20%	0.5W
Carbon	33 Ohm	33	20%	0.5W
Carbon	36 Ohm	36	20%	0.5W
Carbon	39 Ohm	39	20%	0.5W
Carbon	43 Ohm	43	20%	0.5W
Carbon	47 Ohm	47	20%	0.5W
Carbon	51 Ohm	51	20%	0.5W
Carbon	56 Ohm	56	20%	0.5W
Carbon	62 Ohm	62	20%	0.5W
Carbon	68 Ohm	68	20%	0.5W
Carbon	75 Ohm	75	20%	0.5W
Carbon	82 Ohm	82	20%	0.5W
Carbon	91 Ohm	91	20%	0.5W
Carbon	100 Ohm	100	20%	0.5W
Carbon	110 Ohm	110	20%	0.5W
Carbon	120 Ohm	120	20%	0.5W
Carbon	130 Ohm	130	20%	0.5W
Carbon	150 Ohm	150	20%	0.5W
Carbon	160 Ohm	160	20%	0.5W
