
Type	Value	Ohm Rating (Numerical)	Accuracy	Power
Metal-film	1 Ohm	1	1%	0.5W
Metal-film	1.1 Ohm	1	1%	0.5W
Metal-film	1.2 Ohm	1	1%	0.5W
Metal-film	1.3 Ohm	1	1%	0.5W
Metal-film	1.5 Ohm	1	1%	0.5W
Metal-film	1.6 Ohm	1	1%	0.5W
Metal-film	1.8 Ohm	1	1%	0.5W
Metal-film	2 Ohm	2	1%	0.5W
Metal-film	2.2 Ohm	2	1%	0.5W
Metal-film	2.4 Ohm	2	1%	0.5W
Metal-film	2.7 Ohm	2	1%	0.5W
Metal-film	3 Ohm	3	1%	0.5W
Metal-film	3.3 Ohm	3	1%	0.5W
Metal-film	3.6 Ohm	3	1%	0.5W
Metal-film	3.9 Ohm	3	1%	0.5W
Metal-film	4.3 Ohm	4	1%	0.5W
Metal-film	4.7 Ohm	4	1%	0.5W
Metal-film	5.1 Ohm	5	1%	0.5W
Metal-film	5.6 Ohm	5	1%	0.5W
Metal-film	6.2 Ohm	6	1%	0.5W
Metal-film	6.8 Ohm	6	1%	0.5W
Metal-film	7.5 Ohm	7	1%	0.5W
Metal-film	8.2 Ohm	8	1%	0.5W
Metal-film	9.1 Ohm	9	1%	0.5W
Metal-film	10 Ohm	10	1%	0.5W
Metal-film	11 Ohm	11	1%	0.5W
Metal-film	12 Ohm	12	1%	0.5W
Metal-film	13 Ohm	13	1%	0.5W
Metal-film	15 Ohm	15	1%	0.5W
Metal-film	16 Ohm	16	1%	0.5W
Metal-film	18 Ohm	18	1%	0.5W
Metal-film	20 Ohm	20	1%	0.5W
Metal-film	22 Ohm	22	1%	0.5W
Metal-film	24 Ohm	24	1%	0.5W
Metal-film	27 Ohm	27	1%	0.5W
Metal-film	30 Ohm	30	1%	0.5W
Metal-film	33 Ohm	33	1%	0.5W
Metal-film	36 Ohm	36	1%	0.5W
Metal-film	39 Ohm	39	1%	0.5W
Metal-film	43 Ohm	43	1%	0.5W
Metal-film	47 Ohm	47	1%	0.5W
Metal-film	51 Ohm	51	1%	0.5W
Metal-film	56 Ohm	56	1%	0.5W
Metal-film	62 Ohm	62	1%	0.5W
Metal-film	68 Ohm	68	1%	0.5W
Metal-film	75 Ohm	75	1%	0.5W
Metal-film	82 Ohm	82	1%	0.5W
Metal-film	91 Ohm	91	1%	0.5W
Metal-film	100 Ohm	100	1%	0.5W
Metal-film	110 Ohm	110	1%	0.5W
Metal-film	120 Ohm	120	1%	0.5W
Metal-film	130 Ohm	130	1%	0.5W
Metal-film	150 Ohm	150	1%	0.5W
Metal-film	160 Ohm	160	1%	0.5W
Metal-film	180 Ohm	180	1%	0.5W
Metal-film	200 Ohm	200	1%	0.5W
Metal-film	220 Ohm	220	1%	0.5W
Metal-film	240 Ohm	240	1%	0.5W
Metal-film	270 Ohm	270	1%	0.5W
Metal-film	300 Ohm	300	1%	0.5W
Metal-film	330 Ohm	330	1%	0.5W
Metal-film	360 Ohm	360	1%	0.5W
Metal-film	390 Ohm	390	1%	0.5W
Metal-film	430 Ohm	430	1%	0.5W
Metal-film	470 Ohm	470	1%	0.5W
Metal-film	510 Ohm	509	1%	0.5W
Metal-film	560 Ohm	560	1%	0.5W
Metal-film	620 Ohm	620	1%	0.5W
Metal-film	680 Ohm	680	1%	0.5W
Metal-film	750 Ohm	750	1%	0.5W
Metal-film	820 Ohm	819	1%	0.5W
Metal-film	910 Ohm	910	1%	0.5W
Metal-film	1 kOhm	1000	1%	0.5W
Metal-film	1.1 kOhm	1100	1%	0.5W
Metal-film	1.2 kOhm	1200	1%	0.5W
Metal-film	1.3 kOhm	1300	1%	0.5W
Metal-film	1.5 kOhm	1500	1%	0.5W
Metal-film	1.6 kOhm	1600	1%	0.5W
Metal-film	1.8 kOhm	1800	1%	0.5W
Metal-film	2 kOhm	2000	1%	0.5W
Metal-film	2.2 kOhm	2200	1%	0.5W
Metal-film	2.4 kOhm	2400	1%	0.5W
Metal-film	2.7 kOhm	2700	1%	0.5W
Metal-film	3 kOhm	3000	1%	0.5W
Metal-film	3.3 kOhm	3300	1%	0.5W
Metal-film	3.6 kOhm	3600	1%	0.5W
Metal-film	3.9 kOhm	3900	1%	0.5W
Metal-film	4.3 kOhm	4300	1%	0.5W
Metal-film	4.7 kOhm	4700	1%	0.5W
Metal-film	5.1 kOhm	5100	1%	0.5W
Metal-film	5.6 kOhm	5600	1%	0.5W
Metal-film	6.2 kOhm	6200	1%	0.5W
Metal-film	6.8 kOhm	6800	1%	0.5W
Metal-film	7.5 kOhm	7500	1%	0.5W
Metal-film	8.2 kOhm	8200	1%	0.5W
Metal-film	9.1 kOhm	9100	1%	0.5W
Metal-film	10 kOhm	10000	1%	0.5W
Metal-film	11 kOhm	11000	1%	0.5W
Metal-film	12 kOhm	12000	1%	0.5W
Metal-film	13 kOhm	13000	1%	0.5W
Metal-film	15 kOhm	15000	1%	0.5W
Metal-film	16 kOhm	16000	1%	0.5W
Metal-film	18 kOhm	18000	1%	0.5W
Metal-film	20 kOhm	20000	1%	0.5W
Metal-film	22 kOhm	22000	1%	0.5W
Metal-film	24 kOhm	24000	1%	0.5W
Metal-film	27 kOhm	27000	1%	0.5W
Metal-film	30 kOhm	30000	1%	0.5W
Metal-film	33 kOhm	33000	1%	0.5W
Metal-film	36 kOhm	36000	1%	0.5W
Metal-film	39 kOhm	39000	1%	0.5W
Metal-film	43 kOhm	43000	1%	0.5W
Metal-film	47 kOhm	47000	1%	0.5W
Metal-film	51 kOhm	51000	1%	0.5W
Metal-film	56 kOhm	56000	1%	0.5W
Metal-film	62 kOhm	62000	1%	0.5W
Metal-film	68 kOhm	68000	1%	0.5W
Metal-film	75 kOhm	75000	1%	0.5W
Metal-film	82 kOhm	82000	1%	0.5W
Metal-film	91 kOhm	91000	1%	0.5W
Metal-film	100 kOhm	100000	1%	0.5W
Metal-film	110 kOhm	110000	1%	0.5W
Metal-film	120 kOhm	120000	1%	0.5W
Metal-film	130 kOhm	130000	1%	0.5W
Metal-film	150 kOhm	150000	1%	0.5W
Metal-film	160 kOhm	160000	1%	0.5W
Metal-film	180 kOhm	180000	1%	0.5W
Metal-film	200 kOhm	200000	1%	0.5W
Metal-film	220 kOhm	220000	1%	0.5W
Metal-film	240 kOhm	240000	1%	0.5W
Metal-film	270 kOhm	270000	1%	0.5W
Metal-film	300 kOhm	300000	1%	0.5W
Metal-film	330 kOhm	330000	1%	0.5W
Metal-film	360 kOhm	360000	1%	0.5W
Metal-film	390 kOhm	390000	1%	0.5W
Metal-film	430 kOhm	430000	1%	0.5W
Metal-film	470 kOhm	470000	1%	0.5W
Metal-film	510 kOhm	509999	1%	0.5W
Metal-film	560 kOhm	560000	1%	0.5W
Metal-film	620 kOhm	620000	1%	0.5W
Metal-film	680 kOhm	680000	1%	0.5W
Metal-film	750 kOhm	750000	1%	0.5W
Metal-film	820 kOhm	819999	1%	0.5W
Metal-film	910 kOhm	910000	1%	0.5W
Metal-film	1 MOhm	1000000	1%	0.5W
Metal-film	1.1 MOhm	1100000	1%	0.5W
Metal-film	1.2 MOhm	1200000	1%	0.5W
Metal-film	1.3 MOhm	1300000	1%	0.5W
Metal-film	1.5 MOhm	1500000	1%	0.5W
Metal-film	1.6 MOhm	1600000	1%	0.5W
Metal-film	1.8 MOhm	1800000	1%	0.5W
Metal-film	2 MOhm	2000000	1%	0.5W
Metal-film	2.2 MOhm	2200000	1%	0.5W
Metal-film	2.4 MOhm	2400000	1%	0.5W
Metal-film	2.7 MOhm	2700000	1%	0.5W
Metal-film	3 MOhm	3000000	1%	0.5W
Metal-film	3.3 MOhm	3300000	1%	0.5W
Metal-film	3.6 MOhm	3600000	1%	0.5W
Metal-film	3.9 MOhm	3900000	1%	0.5W
Metal-film	4.3 MOhm	4300000	1%	0.5W
Metal-film	4.7 MOhm	4700000	1%	0.5W
Metal-film	5.1 MOhm	5100000	1%	0.5W
Metal-film	5.6 MOhm	5600000	1%	0.5W
Metal-film	6.2 MOhm	6200000	1%	0.5W
Metal-film	6.8 MOhm	6800000	1%	0.5W
Metal-film	7.5 MOhm	7500000	1%	0.5W
Metal-film	8.2 MOhm	8199999	1%	0.5W
Metal-film	9.1 MOhm	9100000	1%	0.5W
Metal-film	10 MOhm	10000000	1%	0.5W
